,,,,,,Hosts:,,,,,,,,,,,,,,,,,,,,,,
WEEK #,Holiday,Date of Holiday,Date,Total # of Sandwiches,,"ALPHARETTA ( Karen, Nancy, Carrey, Kelly, Jason)",PREVIOUS BUCKHEAD,PREVIOUS OAK GROVE,"DUNWOODY/PTC (Marcy, Lisa, Darren, Renee, Suzanna, Sonika, Tracie)","E COBB/ROSWELL (Natalie, Silke, Vicki, Rachel, Judy, Jenny)",DECATUR (Sonika),"P'TREE CORNERS (Elaine, Renee V, Susannah, Tracie)",UGA/Athens,"SANDY SPRINGS (Allison, Jen, Terri, Sarah, Kate)","INTOWN/DRUID HILLS (Laura, Jordan, Angie, Della, Julie, Ashley)",SNELLVILLE,GROUPS,Previous Woodstock,Previous Lenox/Brookhaven,Previous New Chastain,Previous Glenwood Park,FLOWERY BRANCH (Kristina),"GROUPS
(Numbers displayed only when not included in a host's count)",TOTAL,NOTES,VALID WEEK?,,
128,,,9/14/2022,"9,709",,"1,043",125,110,"1,981","1,235",54,307,,123,75,190,"2,138",0,160,30,,,"2,138",,,TRUE,,
129,,,9/21/2022,"9,668",,"2,590",217,120,831,"1,559",30,453,,192,118,160,"1,500",0,190,30,178,,"1,500",,,TRUE,,
130,,,9/28/2022,"7,613",,"1,009",0,0,1373,"1,009",334,374,,245,389,140,1320,0,0,0,0,100,1320,,,TRUE,,
131,,,10/5/2022,"9,374",,"1,058",0,0,"1,417","1,215",394,226,,96,534,201,2079,0,0,0,0,75,2079,,,TRUE,,
132,,,10/12/2022,"6,690",,"1,161",0,0,1579,"1,078",136,322,,390,360,158,653,0,0,0,0,200,653,,,TRUE,,
133,,,10/19/2022,10480,,1097,0,0,"1,317","1,250",194,468,,615,460,162,"2,363",0,0,0,0,191,"2,363",,,TRUE,,
134,,,10/26/2022,8490,,963,0,0,1414,852,353,257,,"1,106",760,158,1167,0,0,0,0,293,1167,,,TRUE,,
135,,,11/2/2022,11160,,783,0,0,2150,1149,267,190,,688,567,105,2437,0,0,0,0,387,2437,,,TRUE,,
136,,,11/9/2022,"19,195",,"1,939",0,0,2705,"2,101",154,347,,644,816,105,5030,0,0,0,0,324,5030,,,TRUE,,
137,,,11/16/2022,"34,100",,"2,897",0,0,"1,621","2,098",625,324,,"3,594",950,142,"10,728",0,0,0,0,393,"10,728",,,TRUE,,
