Collection Date,Host Name,Individual Sandwiches,Group Collections
2022-02-08,Groups - Main,160,
2022-02-09,Alpharetta,2291,
2022-02-09,Previous Buckhead,516,
2022-02-09,Previous Oak Grove,61,
2022-02-09,Dunwoody PTC,3471,
2022-02-09,E Cobb Roswell,1240,
2022-02-09,Peachtree Corners,432,
2022-02-09,Sandy Springs,253,
2022-02-09,Intown Druid Hills,90,
2022-02-09,Snellville,150,
2022-02-09,Groups,1837,
2022-02-09,Groups - Main,1837,
2022-02-10,Alpharetta,1699,
2022-02-10,Previous Buckhead,616,
2022-02-10,Previous Oak Grove,145,
2022-02-10,Dunwoody PTC,2068,
2022-02-10,E Cobb Roswell,1911,
2022-02-10,Decatur,107,
2022-02-10,Peachtree Corners,432,
2022-02-10,Sandy Springs,529,
2022-02-10,Intown Druid Hills,237,
2022-02-10,Snellville,125,
2022-02-10,Groups,180,
2022-02-10,Previous Woodstock,131,
2022-02-10,Groups - Main,180,
2022-02-11,Alpharetta,867,
2022-02-11,Previous Buckhead,125,
2022-02-11,Dunwoody PTC,2267,
2022-02-11,E Cobb Roswell,2156,
2022-02-11,Peachtree Corners,496,
2022-02-11,Sandy Springs,259,
2022-02-11,Intown Druid Hills,275,
2022-02-11,Snellville,125,
2022-02-11,Previous Woodstock,39,
2022-02-12,Alpharetta,1134,
2022-02-12,Previous Buckhead,282,
2022-02-12,Dunwoody PTC,2774,
2022-02-12,E Cobb Roswell,1892,
2022-02-12,Decatur,21,
2022-02-12,Peachtree Corners,211,
2022-02-12,Sandy Springs,325,
2022-02-12,Intown Druid Hills,112,
2022-02-12,Snellville,105,
2022-02-12,Groups,1580,
2022-02-12,Previous Woodstock,50,
2022-02-12,Groups - Main,1580,
2022-02-13,Alpharetta,2165,
2022-02-13,Previous Buckhead,817,
2022-02-13,Dunwoody PTC,3490,
2022-02-13,E Cobb Roswell,2760,
2022-02-13,Peachtree Corners,829,
2022-02-13,Sandy Springs,352,
2022-02-13,Intown Druid Hills,247,
2022-02-13,Snellville,128,
2022-02-13,Groups,1005,
2022-02-13,Groups - Main,1005,
2022-02-14,Alpharetta,1379,
2022-02-14,Previous Buckhead,243,
2022-02-14,Dunwoody PTC,3034,
2022-02-14,E Cobb Roswell,2817,
2022-02-14,Decatur,85,
2022-02-14,Peachtree Corners,503,
2022-02-14,Sandy Springs,503,
2022-02-14,Intown Druid Hills,380,
2022-02-14,Snellville,116,
2022-02-14,Groups,575,
2022-02-14,Groups - Main,575,
2022-02-15,Alpharetta,1030,
2022-02-15,Previous Buckhead,515,
2022-02-15,Dunwoody PTC,2707,
2022-02-15,E Cobb Roswell,1570,
2022-02-15,Decatur,195,
2022-02-15,Peachtree Corners,388,
2022-02-15,Sandy Springs,480,
2022-02-15,Intown Druid Hills,62,
2022-02-15,Snellville,140,
2022-02-15,Groups,190,
2022-02-15,Groups - Main,190,
2022-05-11,Alpharetta,1574,
2022-05-11,Previous Buckhead,541,
2022-05-11,Dunwoody PTC,3729,
2022-05-11,E Cobb Roswell,1999,
2022-05-11,Decatur,154,
2022-05-11,Peachtree Corners,699,
2022-05-11,Sandy Springs,569,
2022-05-11,Intown Druid Hills,86,
2022-05-11,Snellville,115,
2022-05-18,Alpharetta,1457,
2022-05-18,Previous Buckhead,500,
2022-05-18,Dunwoody PTC,2532,
2022-05-18,E Cobb Roswell,1842,
2022-05-18,Decatur,77,
2022-05-18,Peachtree Corners,165,
2022-05-18,Sandy Springs,256,
2022-05-18,Intown Druid Hills,118,
2022-05-18,Snellville,121,
2022-05-18,Groups,450,
2022-05-18,Previous Lenox/Brookhaven,208,
2022-05-18,Groups - Main,450,
2022-05-15,Alpharetta,1457,
2022-05-15,Previous Buckhead,403,
2022-05-15,Dunwoody PTC,2415,
2022-05-15,E Cobb Roswell,1747,
2022-05-15,Decatur,112,
2022-05-15,Peachtree Corners,187,
2022-05-15,Sandy Springs,136,
2022-05-15,Intown Druid Hills,86,
2022-05-15,Snellville,110,
2022-05-15,Groups,800,
2022-05-15,Previous Lenox/Brookhaven,155,
2022-05-15,Groups - Main,800,
2022-06-01,Alpharetta,634,
2022-06-01,Previous Buckhead,434,
2022-06-01,Dunwoody PTC,1855,
2022-06-01,E Cobb Roswell,1695,
2022-06-01,Peachtree Corners,433,
2022-06-01,Intown Druid Hills,76,
2022-06-01,Snellville,128,
2022-06-08,Alpharetta,1471,
2022-06-08,Previous Buckhead,70,
2022-06-08,Dunwoody PTC,2404,
2022-06-08,E Cobb Roswell,2163,
2022-06-08,Decatur,120,
2022-06-08,Peachtree Corners,453,
2022-06-08,Sandy Springs,20,
2022-06-08,Intown Druid Hills,270,
2022-06-08,Snellville,170,
2022-06-08,Groups,1809,
2022-06-08,Previous Lenox/Brookhaven,19,
2022-06-08,Groups - Main,1809,
2022-06-15,Alpharetta,1232,
2022-06-15,Previous Buckhead,1170,
2022-06-15,Dunwoody PTC,2032,
2022-06-15,E Cobb Roswell,2841,
2022-06-15,Peachtree Corners,557,
2022-06-15,Intown Druid Hills,93,
2022-06-15,Snellville,160,
2022-06-15,Groups,450,
2022-06-15,Groups - Main,450,
2022-06-22,Alpharetta,1147,
2022-06-22,Previous Buckhead,278,
2022-06-22,Dunwoody PTC,3174,
2022-06-22,E Cobb Roswell,2897,
2022-06-22,Decatur,114,
2022-06-22,Peachtree Corners,703,
2022-06-22,Sandy Springs,44,
2022-06-22,Intown Druid Hills,235,
2022-06-22,Snellville,104,
2022-06-22,Groups,1750,
2022-06-22,Previous Lenox/Brookhaven,20,
2022-06-22,Groups - Main,1750,
2022-06-29,Alpharetta,2340,
2022-06-29,Dunwoody PTC,1837,
2022-06-29,E Cobb Roswell,3182,
2022-06-29,Decatur,54,
2022-06-29,Peachtree Corners,591,
2022-06-29,Sandy Springs,80,
2022-06-29,Intown Druid Hills,185,
2022-06-29,Snellville,82,
2022-06-29,Groups,151,
2022-06-29,Previous Lenox/Brookhaven,197,
2022-06-29,Groups - Main,151,
2022-07-06,Alpharetta,1144,
2022-07-06,Previous Buckhead,107,
2022-07-06,Dunwoody PTC,1067,
2022-07-06,E Cobb Roswell,2167,
2022-07-06,Decatur,107,
2022-07-06,Peachtree Corners,341,
2022-07-06,Sandy Springs,170,
2022-07-06,Intown Druid Hills,210,
2022-07-06,Snellville,187,
2022-07-13,Alpharetta,2688,
2022-07-13,Previous Buckhead,176,
2022-07-13,Dunwoody PTC,1645,
2022-07-13,E Cobb Roswell,2168,
2022-07-13,Decatur,66,
2022-07-13,Peachtree Corners,370,
2022-07-13,Sandy Springs,67,
2022-07-13,Snellville,99,
2022-07-13,Previous Lenox/Brookhaven,106,
2022-07-20,Alpharetta,528,
2022-07-20,Previous Buckhead,423,
2022-07-20,Dunwoody PTC,2046,
2022-07-20,E Cobb Roswell,2533,
2022-07-20,Peachtree Corners,272,
2022-07-20,Sandy Springs,104,
2022-07-20,Intown Druid Hills,268,
2022-07-20,Snellville,172,
2022-07-20,Groups,1740,
2022-07-20,Previous Lenox/Brookhaven,70,
2022-07-20,Groups - Main,1740,
2022-07-27,Alpharetta,1068,
2022-07-27,Previous Buckhead,305,
2022-07-27,Dunwoody PTC,1970,
2022-07-27,E Cobb Roswell,2538,
2022-07-27,Decatur,104,
2022-07-27,Peachtree Corners,232,
2022-07-27,Intown Druid Hills,90,
2022-07-27,Snellville,142,
2022-07-27,Groups,525,
2022-07-27,Groups - Main,525,
2022-08-03,Alpharetta,760,
2022-08-03,Previous Buckhead,373,
2022-08-03,Dunwoody PTC,1319,
2022-08-03,E Cobb Roswell,1845,
2022-08-03,Decatur,366,
2022-08-03,Peachtree Corners,401,
2022-08-03,Sandy Springs,18,
