ID,Host Name,Individual Sandwiches,Collection Date,Group Collections,Submitted At
2704,"Groups - Main",0,"2025-02-05","[{"groupName":"Unnamed Groups","sandwichCount":2600}]","6/8/2025, 1:06:01 PM"
2699,"Alpharetta",1252,"2025-02-05","[]","6/8/2025, 1:06:00 PM"
2830,"Collective Learning",50,"2025-02-05","[]","6/14/2025, 12:28:10 AM"
2700,"Dunwoody/PTC",2173,"2025-02-05","[]","6/8/2025, 1:06:00 PM"
2701,"East Cobb/Roswell",1265,"2025-02-05","[]","6/8/2025, 1:06:01 PM"
2703,"Intown/Druid Hills",854,"2025-02-05","[]","6/8/2025, 1:06:01 PM"
2694,"East Cobb/Roswell",1890,"2025-01-29","[]","6/8/2025, 1:06:00 PM"
2697,"Flowery Branch",402,"2025-01-29","[]","6/8/2025, 1:06:00 PM"
2698,"Groups - Main",0,"2025-01-29","[{"groupName":"Unnamed Groups","sandwichCount":7140}]","6/8/2025, 1:06:00 PM"
2696,"Intown/Druid Hills",1992,"2025-01-29","[]","6/8/2025, 1:06:00 PM"
2695,"Sandy Springs",706,"2025-01-29","[]","6/8/2025, 1:06:00 PM"
2685,"Sandy Springs",545,"2025-01-22","[]","6/8/2025, 1:05:59 PM"
2691,"Sandy Springs",873,"2025-01-22","[]","6/8/2025, 1:06:00 PM"
2688,"Alpharetta",1300,"2025-01-22","[]","6/8/2025, 1:06:00 PM"
2692,"Intown/Druid Hills",2782,"2025-01-22","[]","6/8/2025, 1:06:00 PM"
2686,"Intown/Druid Hills",662,"2025-01-22","[]","6/8/2025, 1:05:59 PM"
2684,"East Cobb/Roswell",1192,"2025-01-22","[]","6/8/2025, 1:05:59 PM"
2682,"Alpharetta",864,"2025-01-22","[]","6/8/2025, 1:05:59 PM"
2693,"Flowery Branch",258,"2025-01-22","[]","6/8/2025, 1:06:00 PM"
2683,"Dunwoody/PTC",986,"2025-01-22","[]","6/8/2025, 1:05:59 PM"
2689,"Dunwoody/PTC",1778,"2025-01-22","[]","6/8/2025, 1:06:00 PM"
2690,"East Cobb/Roswell",1592,"2025-01-22","[]","6/8/2025, 1:06:00 PM"
2679,"East Cobb/Roswell",400,"2025-01-20","[]","6/8/2025, 1:05:59 PM"
2677,"Alpharetta",436,"2025-01-20","[]","6/8/2025, 1:05:59 PM"
2681,"Intown/Druid Hills",2120,"2025-01-20","[]","6/8/2025, 1:05:59 PM"
2680,"Sandy Springs",328,"2025-01-20","[]","6/8/2025, 1:05:59 PM"
2678,"Dunwoody/PTC",792,"2025-01-20","[]","6/8/2025, 1:05:59 PM"
2673,"Sandy Springs",664,"2025-01-15","[]","6/8/2025, 1:05:58 PM"
2675,"Flowery Branch",230,"2025-01-15","[]","6/8/2025, 1:05:59 PM"
2671,"Dunwoody/PTC",2384,"2025-01-15","[]","6/8/2025, 1:05:58 PM"
2672,"East Cobb/Roswell",1776,"2025-01-15","[]","6/8/2025, 1:05:58 PM"
2674,"Intown/Druid Hills",727,"2025-01-15","[]","6/8/2025, 1:05:59 PM"
2676,"Groups - Main",0,"2025-01-15","[{"groupName":"Unnamed Groups","sandwichCount":1730}]","6/8/2025, 1:05:59 PM"
2670,"Alpharetta",1180,"2025-01-15","[]","6/8/2025, 1:05:58 PM"
2666,"Sandy Springs",301,"2025-01-08","[]","6/8/2025, 1:05:58 PM"
2669,"Groups - Main",0,"2025-01-08","[{"groupName":"Unnamed Groups","sandwichCount":900}]","6/8/2025, 1:05:58 PM"
2663,"Alpharetta",1571,"2025-01-08","[]","6/8/2025, 1:05:58 PM"
2665,"East Cobb/Roswell",1115,"2025-01-08","[]","6/8/2025, 1:05:58 PM"
2668,"Flowery Branch",426,"2025-01-08","[]","6/8/2025, 1:05:58 PM"
2667,"Intown/Druid Hills",1064,"2025-01-08","[]","6/8/2025, 1:05:58 PM"
2664,"Dunwoody/PTC",2397,"2025-01-08","[]","6/8/2025, 1:05:58 PM"
2662,"East Cobb/Roswell",185,"2025-01-01","[]","6/8/2025, 1:05:58 PM"
2661,"Dunwoody/PTC",563,"2025-01-01","[]","6/8/2025, 1:05:58 PM"
2660,"Groups - Main",0,"2024-12-26","[{"groupName":"Unnamed Groups","sandwichCount":2000}]","6/8/2025, 1:05:57 PM"
2659,"Dunwoody/PTC",504,"2024-12-26","[]","6/8/2025, 1:05:57 PM"
2654,"East Cobb/Roswell",1706,"2024-12-18","[]","6/8/2025, 1:05:57 PM"
2653,"Dunwoody/PTC",1342,"2024-12-18","[]","6/8/2025, 1:05:57 PM"
2655,"Sandy Springs",485,"2024-12-18","[]","6/8/2025, 1:05:57 PM"
2657,"Flowery Branch",426,"2024-12-18","[]","6/8/2025, 1:05:57 PM"
2652,"Alpharetta",848,"2024-12-18","[]","6/8/2025, 1:05:57 PM"
2658,"Groups - Main",0,"2024-12-18","[{"groupName":"Unnamed Groups","sandwichCount":5100}]","6/8/2025, 1:05:57 PM"
2656,"Intown/Druid Hills",922,"2024-12-18","[]","6/8/2025, 1:05:57 PM"
2645,"Alpharetta",2176,"2024-12-11","[]","6/8/2025, 1:05:56 PM"
2649,"Intown/Druid Hills",1190,"2024-12-11","[]","6/8/2025, 1:05:57 PM"
2650,"Flowery Branch",105,"2024-12-11","[]","6/8/2025, 1:05:57 PM"
2646,"Dunwoody/PTC",2226,"2024-12-11","[]","6/8/2025, 1:05:56 PM"
2648,"Sandy Springs",667,"2024-12-11","[]","6/8/2025, 1:05:56 PM"
2651,"Groups - Main",0,"2024-12-11","[{"groupName":"Unnamed Groups","sandwichCount":6570}]","6/8/2025, 1:05:57 PM"
2647,"East Cobb/Roswell",1203,"2024-12-11","[]","6/8/2025, 1:05:56 PM"
2643,"Flowery Branch",250,"2024-12-04","[]","6/8/2025, 1:05:56 PM"
2642,"Intown/Druid Hills",1280,"2024-12-04","[]","6/8/2025, 1:05:56 PM"
2644,"Groups - Main",0,"2024-12-04","[{"groupName":"Unnamed Groups","sandwichCount":1500}]","6/8/2025, 1:05:56 PM"
2639,"East Cobb/Roswell",1439,"2024-12-04","[]","6/8/2025, 1:05:56 PM"
2640,"Decatur",54,"2024-12-04","[]","6/8/2025, 1:05:56 PM"
2637,"Alpharetta",1379,"2024-12-04","[]","6/8/2025, 1:05:56 PM"
2638,"Dunwoody/PTC",1643,"2024-12-04","[]","6/8/2025, 1:05:56 PM"
2641,"Sandy Springs",442,"2024-12-04","[]","6/8/2025, 1:05:56 PM"
2631,"East Cobb/Roswell",1643,"2024-11-20","[]","6/8/2025, 1:05:55 PM"
2634,"Intown/Druid Hills",861,"2024-11-20","[]","6/8/2025, 1:05:55 PM"
2629,"Alpharetta",3625,"2024-11-20","[]","6/8/2025, 1:05:55 PM"
2635,"Flowery Branch",304,"2024-11-20","[]","6/8/2025, 1:05:55 PM"
2630,"Dunwoody/PTC",2378,"2024-11-20","[]","6/8/2025, 1:05:55 PM"
2633,"Sandy Springs",1087,"2024-11-20","[]","6/8/2025, 1:05:55 PM"
2632,"Decatur",64,"2024-11-20","[]","6/8/2025, 1:05:55 PM"
2636,"Groups - Main",0,"2024-11-20","[{"groupName":"Unnamed Groups","sandwichCount":6409}]","6/8/2025, 1:05:56 PM"
2626,"Intown/Druid Hills",437,"2024-11-13","[]","6/8/2025, 1:05:55 PM"
2622,"Dunwoody/PTC",1396,"2024-11-13","[]","6/8/2025, 1:05:54 PM"
