# Sandwich Collections Report
# Generated: 6/30/2025, 4:52:20 AM
# Date Range: Jan 01, 2024 - Dec 31, 2024
# Total Records: 357

# EXECUTIVE SUMMARY
Total Sandwiches,295376
Total Hosts,0
Active Projects,0

# TOP PERFORMERS
Name,Count
"Dunwoody/PTC",80330
"Alpharetta",66595
"East Cobb/Roswell",60996
"Intown/Druid Hills",40786
"Sandy Springs",30560

# DETAILED DATA
id,date,hostName,individualSandwiches,groupCollections,submittedAt
"2600","2024-10-23","Alpharetta","618","[]","Sun Jun 08 2025 17:05:53 GMT+0000 (Coordinated Universal Time)"
"2603","2024-10-23","Sandy Springs","224","[]","Sun Jun 08 2025 17:05:53 GMT+0000 (Coordinated Universal Time)"
"2601","2024-10-23","Dunwoody/PTC","1774","[]","Sun Jun 08 2025 17:05:53 GMT+0000 (Coordinated Universal Time)"
"2605","2024-10-23","Flowery Branch","503","[]","Sun Jun 08 2025 17:05:53 GMT+0000 (Coordinated Universal Time)"
"2604","2024-10-23","Intown/Druid Hills","768","[]","Sun Jun 08 2025 17:05:53 GMT+0000 (Coordinated Universal Time)"
"2602","2024-10-23","East Cobb/Roswell","594","[]","Sun Jun 08 2025 17:05:53 GMT+0000 (Coordinated Universal Time)"
"2595","2024-10-16","Decatur","119","[]","Sun Jun 08 2025 17:05:52 GMT+0000 (Coordinated Universal Time)"
"2597","2024-10-16","Intown/Druid Hills","1296","[]","Sun Jun 08 2025 17:05:52 GMT+0000 (Coordinated Universal Time)"
"2594","2024-10-16","East Cobb/Roswell","1332","[]","Sun Jun 08 2025 17:05:52 GMT+0000 (Coordinated Universal Time)"
"2596","2024-10-16","Sandy Springs","431","[]","Sun Jun 08 2025 17:05:52 GMT+0000 (Coordinated Universal Time)"
"2599","2024-10-16","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":3746}]","Sun Jun 08 2025 17:05:53 GMT+0000 (Coordinated Universal Time)"
"2593","2024-10-16","Dunwoody/PTC","1377","[]","Sun Jun 08 2025 17:05:52 GMT+0000 (Coordinated Universal Time)"
"2592","2024-10-16","Alpharetta","1032","[]","Sun Jun 08 2025 17:05:52 GMT+0000 (Coordinated Universal Time)"
"2598","2024-10-16","Flowery Branch","200","[]","Sun Jun 08 2025 17:05:53 GMT+0000 (Coordinated Universal Time)"
"2584","2024-10-09","Alpharetta","1493","[]","Sun Jun 08 2025 17:05:52 GMT+0000 (Coordinated Universal Time)"
"2585","2024-10-09","Dunwoody/PTC","1284","[]","Sun Jun 08 2025 17:05:52 GMT+0000 (Coordinated Universal Time)"
"2589","2024-10-09","Intown/Druid Hills","555","[]","Sun Jun 08 2025 17:05:52 GMT+0000 (Coordinated Universal Time)"
"2590","2024-10-09","Flowery Branch","260","[]","Sun Jun 08 2025 17:05:52 GMT+0000 (Coordinated Universal Time)"
"2586","2024-10-09","East Cobb/Roswell","919","[]","Sun Jun 08 2025 17:05:52 GMT+0000 (Coordinated Universal Time)"
"2591","2024-10-09","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":1900}]","Sun Jun 08 2025 17:05:52 GMT+0000 (Coordinated Universal Time)"
"2587","2024-10-09","Decatur","54","[]","Sun Jun 08 2025 17:05:52 GMT+0000 (Coordinated Universal Time)"
"2588","2024-10-09","Sandy Springs","344","[]","Sun Jun 08 2025 17:05:52 GMT+0000 (Coordinated Universal Time)"
"2583","2024-10-02","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":14023}]","Sun Jun 08 2025 17:05:51 GMT+0000 (Coordinated Universal Time)"
"2578","2024-09-25","East Cobb/Roswell","989","[]","Sun Jun 08 2025 17:05:51 GMT+0000 (Coordinated Universal Time)"
"2581","2024-09-25","Flowery Branch","545","[]","Sun Jun 08 2025 17:05:51 GMT+0000 (Coordinated Universal Time)"
"2576","2024-09-25","Alpharetta","1946","[]","Sun Jun 08 2025 17:05:51 GMT+0000 (Coordinated Universal Time)"
"2582","2024-09-25","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":5650}]","Sun Jun 08 2025 17:05:51 GMT+0000 (Coordinated Universal Time)"
"2577","2024-09-25","Dunwoody/PTC","1836","[]","Sun Jun 08 2025 17:05:51 GMT+0000 (Coordinated Universal Time)"
"2580","2024-09-25","Intown/Druid Hills","791","[]","Sun Jun 08 2025 17:05:51 GMT+0000 (Coordinated Universal Time)"
"2579","2024-09-25","Sandy Springs","510","[]","Sun Jun 08 2025 17:05:51 GMT+0000 (Coordinated Universal Time)"
"2570","2024-09-18","East Cobb/Roswell","1323","[]","Sun Jun 08 2025 17:05:50 GMT+0000 (Coordinated Universal Time)"
"2568","2024-09-18","Alpharetta","1640","[]","Sun Jun 08 2025 17:05:50 GMT+0000 (Coordinated Universal Time)"
"2571","2024-09-18","Decatur","118","[]","Sun Jun 08 2025 17:05:51 GMT+0000 (Coordinated Universal Time)"
"2572","2024-09-18","Sandy Springs","747","[]","Sun Jun 08 2025 17:05:51 GMT+0000 (Coordinated Universal Time)"
"2573","2024-09-18","Intown/Druid Hills","406","[]","Sun Jun 08 2025 17:05:51 GMT+0000 (Coordinated Universal Time)"
"2575","2024-09-18","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":3015}]","Sun Jun 08 2025 17:05:51 GMT+0000 (Coordinated Universal Time)"
"2574","2024-09-18","Flowery Branch","494","[]","Sun Jun 08 2025 17:05:51 GMT+0000 (Coordinated Universal Time)"
"2569","2024-09-18","Dunwoody/PTC","724","[]","Sun Jun 08 2025 17:05:50 GMT+0000 (Coordinated Universal Time)"
"2561","2024-09-11","Dunwoody/PTC","1143","[]","Sun Jun 08 2025 17:05:50 GMT+0000 (Coordinated Universal Time)"
"2563","2024-09-11","Decatur","54","[]","Sun Jun 08 2025 17:05:50 GMT+0000 (Coordinated Universal Time)"
"2567","2024-09-11","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":3400}]","Sun Jun 08 2025 17:05:50 GMT+0000 (Coordinated Universal Time)"
"2566","2024-09-11","Flowery Branch","223","[]","Sun Jun 08 2025 17:05:50 GMT+0000 (Coordinated Universal Time)"
"2560","2024-09-11","Alpharetta","875","[]","Sun Jun 08 2025 17:05:50 GMT+0000 (Coordinated Universal Time)"
"2565","2024-09-11","Intown/Druid Hills","1059","[]","Sun Jun 08 2025 17:05:50 GMT+0000 (Coordinated Universal Time)"
"2564","2024-09-11","Sandy Springs","721","[]","Sun Jun 08 2025 17:05:50 GMT+0000 (Coordinated Universal Time)"
"2562","2024-09-11","East Cobb/Roswell","1133","[]","Sun Jun 08 2025 17:05:50 GMT+0000 (Coordinated Universal Time)"
"2556","2024-09-04","Sandy Springs","434","[]","Sun Jun 08 2025 17:05:49 GMT+0000 (Coordinated Universal Time)"
"2557","2024-09-04","Intown/Druid Hills","567","[]","Sun Jun 08 2025 17:05:49 GMT+0000 (Coordinated Universal Time)"
"2553","2024-09-04","Dunwoody/PTC","1184","[]","Sun Jun 08 2025 17:05:49 GMT+0000 (Coordinated Universal Time)"
"2555","2024-09-04","Decatur","54","[]","Sun Jun 08 2025 17:05:49 GMT+0000 (Coordinated Universal Time)"
"2554","2024-09-04","East Cobb/Roswell","1148","[]","Sun Jun 08 2025 17:05:49 GMT+0000 (Coordinated Universal Time)"
"2552","2024-09-04","Alpharetta","1210","[]","Sun Jun 08 2025 17:05:49 GMT+0000 (Coordinated Universal Time)"
"2558","2024-09-04","Flowery Branch","214","[]","Sun Jun 08 2025 17:05:49 GMT+0000 (Coordinated Universal Time)"
"2559","2024-09-04","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":1400}]","Sun Jun 08 2025 17:05:49 GMT+0000 (Coordinated Universal Time)"
"2550","2024-08-28","Flowery Branch","250","[]","Sun Jun 08 2025 17:05:49 GMT+0000 (Coordinated Universal Time)"
"2545","2024-08-28","Dunwoody/PTC","1322","[]","Sun Jun 08 2025 17:05:48 GMT+0000 (Coordinated Universal Time)"
"2548","2024-08-28","Sandy Springs","545","[]","Sun Jun 08 2025 17:05:49 GMT+0000 (Coordinated Universal Time)"
"2544","2024-08-28","Alpharetta","1766","[]","Sun Jun 08 2025 17:05:48 GMT+0000 (Coordinated Universal Time)"
"2547","2024-08-28","Decatur","54","[]","Sun Jun 08 2025 17:05:49 GMT+0000 (Coordinated Universal Time)"
"2549","2024-08-28","Intown/Druid Hills","846","[]","Sun Jun 08 2025 17:05:49 GMT+0000 (Coordinated Universal Time)"
"2551","2024-08-28","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":200}]","Sun Jun 08 2025 17:05:49 GMT+0000 (Coordinated Universal Time)"
"2546","2024-08-28","East Cobb/Roswell","1290","[]","Sun Jun 08 2025 17:05:49 GMT+0000 (Coordinated Universal Time)"
"2540","2024-08-21","Sandy Springs","445","[]","Sun Jun 08 2025 17:05:48 GMT+0000 (Coordinated Universal Time)"
"2543","2024-08-21","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":2326}]","Sun Jun 08 2025 17:05:48 GMT+0000 (Coordinated Universal Time)"
"2539","2024-08-21","East Cobb/Roswell","1327","[]","Sun Jun 08 2025 17:05:48 GMT+0000 (Coordinated Universal Time)"
"2541","2024-08-21","Intown/Druid Hills","722","[]","Sun Jun 08 2025 17:05:48 GMT+0000 (Coordinated Universal Time)"
"2542","2024-08-21","Flowery Branch","175","[]","Sun Jun 08 2025 17:05:48 GMT+0000 (Coordinated Universal Time)"
"2538","2024-08-21","Dunwoody/PTC","1698","[]","Sun Jun 08 2025 17:05:48 GMT+0000 (Coordinated Universal Time)"
"2537","2024-08-21","Alpharetta","1018","[]","Sun Jun 08 2025 17:05:48 GMT+0000 (Coordinated Universal Time)"
"2533","2024-08-14","Sandy Springs","356","[]","Sun Jun 08 2025 17:05:48 GMT+0000 (Coordinated Universal Time)"
"2536","2024-08-14","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":450}]","Sun Jun 08 2025 17:05:48 GMT+0000 (Coordinated Universal Time)"
"2532","2024-08-14","Decatur","54","[]","Sun Jun 08 2025 17:05:47 GMT+0000 (Coordinated Universal Time)"
